Category Id;Category Name
14984;Pet Supplies / Pet Healthcare / Dental Care / Toothbrush
10100639;Pet Supplies / Pet Healthcare / Fleas & Ticks / Collars
14583;Pet Supplies / Pet Healthcare / Fleas & Ticks / Oral Treatments
14585;Pet Supplies / Pet Healthcare / Fleas & Ticks / Shampoos
14581;Pet Supplies / Pet Healthcare / Fleas & Ticks / Spot Treatments
14584;Pet Supplies / Pet Healthcare / Fleas & Ticks / Sprays
7610;Sports & Outdoors / Exercise & Fitness Equipment / Accessories / Air Pumps
13128;Sports & Outdoors / Exercise & Fitness Equipment / Accessories / First Aid Kits
13129;Sports & Outdoors / Exercise & Fitness Equipment / Accessories / Supports & Braces
7609;Sports & Outdoors / Exercise & Fitness Equipment / Accessories / Water Bottles
6647;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Elliptical Trainers
6648;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Exercise Bikes
11738;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Home Fitness Equipment
6650;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Rowing Machines
6651;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Step Machines
6652;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Treadmills
11739;Sports & Outdoors / Exercise & Fitness Equipment / Cardio Equipment / Vibration Machines
6654;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Aquatic Fitness Equipment
6656;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Balance trainers
6658;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Exercise Balls
6659;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Exercise Bands
6660;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Exercise Mats
6663;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Fitness Gloves
6665;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Jump Ropes
6666;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Jumping Trainers
6670;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Protective Flooring
6672;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Sauna Suits
6673;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Step Platforms
6675;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Trampolines
11745;Sports & Outdoors / Exercise & Fitness Equipment / Fitness Accessories / Twister Plates
6637;Sports & Outdoors / Exercise & Fitness Equipment / Pilates / Chairs
6642;Sports & Outdoors / Exercise & Fitness Equipment / Pilates / Fitness Circles
6643;Sports & Outdoors / Exercise & Fitness Equipment / Pilates / Flexbands
6645;Sports & Outdoors / Exercise & Fitness Equipment / Pilates / Reformers
6646;Sports & Outdoors / Exercise & Fitness Equipment / Pilates / Spine Supporters
13136;Sports & Outdoors / Exercise & Fitness Equipment / Running / Arm bands
13137;Sports & Outdoors / Exercise & Fitness Equipment / Running / Hydration & Waist Pack
42016409;Sports & Outdoors / Exercise & Fitness Equipment / Running / Marathon Event
13139;Sports & Outdoors / Exercise & Fitness Equipment / Running / Pedometers
13138;Sports & Outdoors / Exercise & Fitness Equipment / Running / Reflective Gear
13135;Sports & Outdoors / Exercise & Fitness Equipment / Running / Running Belt
10100273;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Agility Ladders
10100274;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Agility Poles
10100275;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Reaction Balls
10100276;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Speed & Agility Training Kits
10100277;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Speed Chutes
10100278;Sports & Outdoors / Exercise & Fitness Equipment / Speed & Agility Training / Speed Hurdles
10100253;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Ankle Weights
10100254;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Arm Machines
10100255;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Back Machines
10100256;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Bars
11740;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Benches
11741;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Core & Abdominal Trainers
10100257;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Dip Stands
11742;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Hand Strengtheners
11743;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Home Gyms
10100258;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Inversion Equipment
10100259;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Leg Machines
10100260;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Power Cages
10100261;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Power Stands
11744;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Pull-Up & Push-Up Bars
10100262;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Smith Machines
10100263;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Thigh Weights
11750;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Barbells
11748;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Body Weights
11754;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Collars
11751;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Dumbbells
11752;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Kettlebells
11753;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Medicine Balls
11749;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight / Weight Plates
10100264;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Belts
10100266;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Racks / Dumbbell Racks
10100267;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Racks / Free-Weight Racks
10100268;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Racks / Plate Storage Racks
10100269;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Racks / Plate Trees
10100270;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Weight Vests
10100271;Sports & Outdoors / Exercise & Fitness Equipment / Strength Training Equipment / Wrist Weights
6623;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Blocks
6626;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Foam Rollers
10100252;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Sandbags
10100251;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Silk Eye Bags
6634;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Straps
10100250;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Towels
6628;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Yoga Mat Bags
6630;Sports & Outdoors / Exercise & Fitness Equipment / Yoga / Yoga Mats
11809;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Backpacks / Backpack Covers
11806;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Backpacks / Hiking Backpacks
11807;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Backpacks / Hydration Packs
11808;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Backpacks / Waist Packs
11812;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Furniture / Camp Tables
10100281;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Furniture / Cots & Hammocks
11813;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Furniture / Portable Chairs
11814;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Furniture / Storage Trunks
11817;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Kitchen / Camping Grills
11816;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Kitchen / Camping Stoves
11818;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Kitchen / Cookware & Utensils
11819;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Kitchen / Coolers
11820;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Camp Kitchen / Hydration & Filtration
11828;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Knives & Tools
11825;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Lighting / Emergency Light Sticks
11822;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Lighting / Flashlights
11824;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Lighting / Headlamps
11823;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Lighting / Lanterns
11826;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Navigation & Electronics
11810;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Shelters & Canopies
7016;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Air Mattresses
11803;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Cots
11804;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Hammocks
7018;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Pillows & Accessories
7013;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Sleeping Bags
7017;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Sleeping Gear / Sleeping Pads
11829;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Survival kits
6998;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Tents
11827;Sports & Outdoors / Outdoor Recreation / Camping & Hiking / Trekking Poles
11855;Sports & Outdoors / Outdoor Recreation / Climbing / Belay Devices
11856;Sports & Outdoors / Outdoor Recreation / Climbing / Carabiners & Quickdraws
11857;Sports & Outdoors / Outdoor Recreation / Climbing / Chalk & Bags
11858;Sports & Outdoors / Outdoor Recreation / Climbing / Climbing Gloves
